Category,Name,Date/Time,Length,Link,Image,Location,Type
MLH,HackFit,Nov 12th - 14th        ( EST ),2 days,https://organize.mlh.io/participants/events/7563-hackfit,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/209/276/thumb/HackFit_mlh-event-hero.png?1633626425,"Everywhere, Worldwide",Digital Only
MLH,HackDown,Nov 13th - 14th        ( EST ),1 days,https://hackdown.net/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/209/099/thumb/_1632718154940_dea7c4e2b22641f483162e148d7f051b.png?1632934884,"Ewing, New Jersey","Hybrid, In-Person Focus"
MLH,Technica,Nov 13th - 14th        ( EST ),1 days,https://gotechnica.org/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/208/903/thumb/_1631754674296_umd_background.png?1632433934,"Everywhere, Worldwide","Hybrid, Digital Focus"
MLH,Back to Hacking,Nov 19th - 21st        ( EST ),2 days,https://organize.mlh.io/participants/events/7564-back-to-hacking,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/209/277/thumb/back-to-hacking_mlh-event-hero.png?1633626585,"Everywhere, Worldwide",Digital Only
MLH,Give Back Hacks 2.0,Nov 26th - 28th        ( EST ),2 days,https://organize.mlh.io/participants/events/7565-give-back-hacks-2-0,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/209/278/thumb/give-back-hacks_mlh-event-hero.png?1633626823,"Everywhere, Worldwide",Digital Only
MLH,Hackcoming,Dec 3rd - 5th        ( EST ),2 days,https://organize.mlh.io/participants/events/7607-hackcoming,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/209/478/thumb/Hackcoming_mlh-event-hero.png?1634390173,"Everywhere, Worldwide",Digital Only
MLH,Bon Hackétit 2.0,Dec 10th - 12th        ( EST ),2 days,https://organize.mlh.io/participants/events/7608-bon-hacketit-2-0,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/209/479/thumb/bon-hack%C3%A9tit-2_mlh-event-hero.png?1634390300,"Everywhere, Worldwide",Digital Only
MLH,MapHacks,Dec 17th - 19th        ( EST ),2 days,https://organize.mlh.io/participants/events/7609-maphacks,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/209/480/thumb/MapHacks_mlh-event-hero.png?1634390450,"Everywhere, Worldwide",Digital Only
MLH,Hacky Winterland,Dec 24th - 26th        ( EST ),2 days,https://organize.mlh.io/participants/events/7610-hacky-winterland,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/209/481/thumb/hacky-winterland_mlh-event-hero.png?1634390634,"Everywhere, Worldwide",Digital Only
MLH,MLH INIT 2022,Jun 27th - Jul 5th        ( EST ),8 days,https://hackp.ac/INIT,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/206/206/thumb/Screen_Shot_2021-06-21_at_10.35.51_AM.png?1624286342,"Everywhere, Worldwide",Digital Only
MLH,Hacktoon,Jul 9th - 11th        ( EST ),2 days,https://organize.mlh.io/participants/events/7140-hacktoon,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/206/321/thumb/toon-hacks_mlh-event-hero.png?1624616880,"Everywhere, Worldwide",Digital Only
MLH,Bon Voyage Hacks,Jul 16th - 18th        ( EST ),2 days,https://organize.mlh.io/participants/events/7141-bon-voyage-hacks,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/206/322/thumb/Bon-Voyage-Hacks_mlh-event-hero.png?1624639385,"Everywhere, Worldwide",Digital Only
MLH,Hacky Birthday MLH!,Jul 23rd - 25th        ( EST ),2 days,https://organize.mlh.io/participants/events/7142-hacky-birthday-mlh,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/206/400/thumb/Hacky-Birthday-MLH_mlh-event-hero.png?1625323754,"Everywhere, Worldwide",Digital Only
MLH,SelfieHacks,Jul 30th - Aug 1st        ( EST ),2 days,https://organize.mlh.io/participants/events/7143-selfiehacks,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/206/401/thumb/selfie-Hacks_mlh-event-hero.png?1625417580,"Everywhere, Worldwide",Digital Only
MLH,RoboHacks,Aug 6th - 8th        ( EST ),2 days,https://organize.mlh.io/participants/events/7144-robohacks,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/206/402/thumb/robo-Hacks_mlh-event-hero.png?1625417703,"Everywhere, Worldwide",Digital Only
MLH,Hack the 6ix,Aug 20th - 22nd        ( EST ),2 days,https://hackthe6ix.com,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/206/835/thumb/MLH_Event_Background_%281%29.png?1626203851,"Everywhere, Worldwide",Digital Only
MLH,Slam Dunk Hacks,Aug 20th - 22nd        ( EST ),2 days,https://organize.mlh.io/participants/events/7157-slam-dunk-hacks,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/206/403/thumb/slam-dunk-hacks_mlh-event-hero.png?1626463530,"Everywhere, Worldwide",Digital Only
MLH,SharkHacks3,Aug 27th - 29th        ( EST ),2 days,https://organize.mlh.io/participants/events/7158-sharkhacks3,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/206/404/thumb/shark-hacks_mlh-event-hero_%281%29.png?1626463670,"Everywhere, Worldwide",Digital Only
MLH,TechNova's Hack with Us,Aug 27th - 29th        ( EST ),2 days,https://www.itstechnova.org/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/207/031/thumb/MLH_Background_%281%29.png?1626896406,"Everywhere, Worldwide",Digital Only
MLH,Teacher's Hack,Sep 3rd - 5th        ( EST ),2 days,https://organize.mlh.io/participants/events/7161-teacher-s-hack,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/206/405/thumb/teachers-hacks_mlh-event-hero.png?1626463906,"Everywhere, Worldwide",Digital Only
MLH,OHacksIO,Sep 4th - 6th        ( EST ),2 days,https://ohacksio.org/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/208/033/thumb/Background_%284%29.png?1629897879,"Everywhere, Worldwide",Digital Only
MLH,MedHacks,Sep 10th - 12th        ( EST ),2 days,https://www.medhacks.io/#/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/208/035/thumb/jhu.jpeg?1629898504,"Everywhere, Worldwide",Digital Only
MLH,PennApps,Sep 10th - 12th        ( EST ),2 days,http://pennapps.com/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/207/428/thumb/penn_background.png?1628178776,"Everywhere, Worldwide",Digital Only
MLH,PreHackstoric,Sep 10th - 12th        ( EST ),2 days,https://organize.mlh.io/participants/events/7162-prehackstoric,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/206/406/thumb/Prehackstoric_mlh-event-hero.png?1626464056,"Everywhere, Worldwide",Digital Only
MLH,TechTogether Boston,Sep 10th - 12th        ( EST ),2 days,https://boston.techtogether.io,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/207/427/thumb/ttb-bg.png?1628178255,"Everywhere, Worldwide",Digital Only
MLH,HackRice 11,Sep 17th - 19th        ( EST ),2 days,https://hack.rice.edu,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/207/826/thumb/rice_q.jpg?1629309318,"Everywhere, Worldwide",Digital Only
MLH,Hack the North,Sep 17th - 19th        ( EST ),2 days,https://hackthenorth.com/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/207/429/thumb/MLH_Hack_the_North_2021_background2x.png?1628179431,"Everywhere, Worldwide",Digital Only
MLH,HopHacks,Sep 17th - 19th        ( EST ),2 days,https://hophacks.com/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/208/675/thumb/photo-johnshopkins.jpg?1631804196,"Everywhere, Worldwide",Digital Only
MLH,Peace Out Hacks,Sep 17th - 19th        ( EST ),2 days,https://organize.mlh.io/participants/events/7163-peace-out-hacks,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/206/407/thumb/peace-out-hacks_mlh-event-hero.png?1627650284,"Everywhere, Worldwide",Digital Only
MLH,Backyard Hacks 2.0,Sep 24th - 26th        ( EST ),2 days,https://organize.mlh.io/participants/events/7164-backyardhacks-2-0,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/206/408/thumb/backyard-hack-2_mlh-event-hero.png?1629645807,"Everywhere, Worldwide",Digital Only
MLH,BigRed//Hacks,Sep 24th - 26th        ( EST ),2 days,https://bigredhacks.com/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/208/036/thumb/mlh_background.png?1629899612,"Ithaca, NY",Digital Only
MLH,SBUHacks,Sep 24th - 25th        ( EST ),1 days,https://sbuhacks.org/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/208/232/thumb/astro_background_%284%29.png?1631909348,"Everywhere, Worldwide",Digital Only
MLH,ShellHacks,Sep 24th - 26th        ( EST ),2 days,https://shellhacks.net/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/208/576/thumb/MLH_Website_Background.png?1631553961,"Everywhere, Worldwide",Digital Only
MLH,BorderHacks,Sep 25th - 26th        ( EST ),1 days,https://www.borderhacks.com/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/207/430/thumb/BH_-_Logo_5__%281%29.png?1628629072,"Everywhere, Worldwide",Digital Only
MLH,sunhacks,Oct 1st - 3rd        ( EST ),2 days,https://sunhacks.io/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/208/578/thumb/hero.png?1631557763,"Everywhere, Worldwide","Hybrid, Digital Focus"
MLH,WildHacks,Oct 1st - 3rd        ( EST ),2 days,https://organize.mlh.io/participants/events/7419-wildhacks,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/208/710/thumb/wild-hacks_mlh-event-hero_%281%29.png?1631896484,"Everywhere, Worldwide",Digital Only
MLH,The Golden Hack,Oct 2nd - 3rd        ( EST ),1 days,https://www.thegoldenhack.ca/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/208/579/thumb/wlu2.png?1631560205,"Everywhere, Worldwide","Hybrid, Digital Focus"
MLH,Data Day Grind 2.0,Oct 8th - 10th        ( EST ),2 days,https://organize.mlh.io/participants/events/7475-data-day-grind-2-0,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/208/711/thumb/data-day-grind-2_mlh-event-hero.png?1631896755,"Everywhere, Worldwide",Digital Only
MLH,DivHacks,Oct 8th - 10th        ( EST ),2 days,https://columbiadivhacks.com/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/209/148/thumb/_1632180627812_2.png?1633102491,"Everywhere, Online","Hybrid, Digital Focus"
MLH,HackHarvard,Oct 8th - 10th        ( EST ),2 days,http://hackharvard.io/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/208/581/thumb/erin-doering-814K3_kskSI-unsplash.jpg?1631561839,"Everywhere, Worldwide","Hybrid, Digital Focus"
MLH,MakeUC,Oct 9th - 11th        ( EST ),2 days,https://makeuc.io/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/208/676/thumb/makeuc-banner-logo__1_.png?1631820177,"Everywhere, Worldwide","Hybrid, Digital Focus"
MLH,Local Hack Day: Learn,Oct 10th - 18th        ( EST ),8 days,https://organize.mlh.io/participants/events/7190-local-hack-day-learn-2022,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/208/070/thumb/generic_square.png?1630005396,"Everywhere, Worldwide",Digital Only
MLH,Ada Hack,Oct 15th - 17th        ( EST ),2 days,https://adahack.tech/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/209/418/thumb/Screenshot_2021-10-13_at_14-35-34_AdaHack_2021.png?1634150178,"Everywhere, Worldwide",Digital Only
MLH,Hack the Valley,Oct 15th - 17th        ( EST ),2 days,https://hackthevalley.io,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/208/583/thumb/239946644_568252921043481_6318917730420098257_n.png?1631565164,"Everywhere, Worldwide",Digital Only
MLH,MHacks 14,Oct 15th - 17th        ( EST ),2 days,http://mhacks.org/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/209/124/thumb/_1632453187821_MLHEventDesign.jpg?1633024375,"Everywhere, Worldwide",Digital Only
MLH,HackRU,Oct 16th - 17th        ( EST ),1 days,https://hackru.org/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/209/416/thumb/_1633656821322_300x300MLH.png?1634134470,"Everywhere, Worldwide",Digital Only
MLH,Cal Hacks,Oct 22nd - 24th        ( EST ),2 days,https://calhacks.io/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/208/582/thumb/240259126_4196022260497109_3803671336612521425_n_1.png?1631564481,"Everywhere, Worldwide","Hybrid, Digital Focus"
MLH,DandyHacks,Oct 22nd - 24th        ( EST ),2 days,https://dandyhacks.net/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/209/552/thumb/_1634255992721_Event_background_square.png?1634743342,"Everywhere, Worldwide","Hybrid, In-Person Focus"
MLH,Hack Around the World,Oct 22nd - 24th        ( EST ),2 days,https://organize.mlh.io/participants/events/7476-hack-around-the-world,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/208/712/thumb/hack-around-the-world_mlh-event-hero.png?1631897132,"Everywhere, Worldwide",Digital Only
MLH,Hack This Fall 2.0,Oct 22nd - 24th        ( EST ),2 days,https://hackthisfall.tech/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/208/577/thumb/MLH-Event-Background.png?1631554498,"Everywhere, Worldwide",Digital Only
MLH,Pitt Challenge ,Oct 22nd - 24th        ( EST ),2 days,https://pittchallenge.com/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/209/070/thumb/_1632842416227_pitt-challenge-300x300.png?1632849078,"Everywhere, Worldwide",Digital Only
MLH,PlutoHacks,Oct 22nd - 24th        ( EST ),2 days,https://plutohacks.com/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/209/230/thumb/mlh-bg.png?1633450926,"Everywhere, Worldwide",Digital Only
